Date,Volumen BTC,BTC-USD,SP500-USD,Volumen SP500,VIX
2020-02-28,4.153645833333345,8715.6617,296.26001,385764000,40.110001000000004
2020-03-02,3.9200520833333434,8926.2517,309.089996,238703600,33.419998
2020-03-03,3.865208333333343,8768.18,300.23999,300139100,36.82
2020-03-04,3.9399739583333453,8767.8867,312.859985,176613400,31.99
2020-03-05,3.9515625000000125,9073.275,302.459991,186366800,39.619999
2020-03-06,3.758203125000014,9165.1517,297.459991,228667200,41.939999
2020-03-09,3.961588541666678,7944.45,274.230011,309417300,54.459998999999996
2020-03-10,3.772656250000007,7899.2267,288.420013,276444100,47.299999
2020-03-11,3.452473958333336,7951.17,274.359985,255316300,53.900002
2020-03-12,3.742447916666669,4914.085,248.11000099999998,392220700,75.470001
2020-03-13,2.829361979166671,5629.5767,269.320007,329566100,57.830002
2020-03-16,3.113151041666673,5043.6783,239.850006,297240000,82.690002
2020-03-17,2.864166666666674,5337.0933,252.80000299999998,262070500,75.910004
2020-03-18,2.768750000000008,5411.6217,240.0,327597100,76.449997
2020-03-19,3.0078125000000098,6180.27,240.50999500000003,289322000,72.0
2020-03-20,3.0436197916666785,6206.6117,228.80000299999998,347158800,66.040001
2020-03-23,2.77906250000001,6492.94,222.94999700000002,326025200,61.59
2020-03-24,3.0432291666666784,6766.7817,243.149994,235494500,61.669998
2020-03-25,2.4958333333333433,6687.705,246.789993,299430300,63.950001
2020-03-26,3.071223958333346,6709.95,261.200012,257632800,61.0
2020-03-27,3.0889322916666786,6698.73,253.419998,224341200,65.540001
2020-03-30,3.2190104166666793,6568.805,261.649994,171369500,57.080002
2020-03-31,3.2738281250000116,6449.95,257.75,194881100,53.540001000000004
2020-04-01,3.1770833333333446,6671.95,246.149994,189554600,57.060001
2020-04-02,3.4048177083333426,6833.05,251.830002,177660400,50.91
2020-04-03,3.1523437500000107,6740.075,248.190002,135561200,46.799999
2020-04-06,3.402083333333344,7297.75,264.859985,188061200,45.240002000000004
2020-04-07,3.3832031250000134,7360.37,265.130005,201427200,46.700001
2020-04-08,3.2490885416666804,7341.15,274.02999900000003,153774500,43.349998
2020-04-09,3.2627604166666826,7314.95,278.200012,190282700,41.669998
2020-04-13,3.254687500000016,6763.065,275.660004,114839100,41.169998
2020-04-14,3.4079427083333504,6885.1,283.790009,134143400,37.759997999999996
2020-04-15,3.470703125000016,6727.15,277.76001,121775000,40.84
2020-04-16,3.5028125000000174,7055.8225,279.100006,131798300,40.110001000000004
2020-04-17,3.3342447916666837,7086.85,286.640015,146684800,38.150002
2020-04-20,3.437500000000016,6896.31,281.589996,100109300,43.830002
2020-04-21,3.5462239583333504,6856.8,273.040009,126385700,45.41
2020-04-22,3.3798958333333475,7137.85,279.100006,93524600,41.98
2020-04-23,3.6567708333333435,7556.95,279.079987,104709700,41.380001
2020-04-24,3.540885416666677,7502.9,282.97000099999997,85166000,35.93
2020-04-27,3.4589843750000084,7674.375,287.049988,77896600,33.290001000000004
2020-04-28,3.573229166666677,7724.15,285.730011,105270000,33.57
2020-04-29,4.066406250000012,8273.45,293.209991,118745600,31.23
2020-04-30,3.9885416666666798,8740.75,290.480011,122901700,34.150002
2020-05-01,3.475000000000014,8771.5725,282.790009,125180000,37.189999
2020-05-04,3.7828125000000163,8801.36,283.570007,80873200,35.970001
2020-05-05,3.7716145833333474,8900.3,286.190002,79569900,33.610001000000004
2020-05-06,3.934375000000013,9248.9475,284.25,73632600,34.119999
