Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
LAPIZ ADHESIVO BULLY 22 GRAMOS,BULLY,HENKEL,13.32,"LAPIZ ADHESIVO BULLY 22 GRAMOS LAVABLE, NO TOXICO, PEGA PAPEL, CARTULINA Y FOTOS",https://henki.com.mx/erp/shared_resources/productos/BUL-LAPADH-1033.jpg-.jpg
CARPETA BLANCA PANORAMICA OKAMI T/CARTA HERRAJE O  1 1/2 PULGADAS,OKAMICTA11/2O,OKAMI,55.03,"CARPETA BLANCA PANORAMICA OKAMI DE VINYL TAMAÑO CARTA 1 1/2 PULGADAS HERRAJE O TRES VENTANAS DE VINYL TRANSPARENTE, CON SOLAPAS INTERIORES	",https://henki.com.mx/erp/shared_resources/productos/OFF-CARBLA-1925.jpg-.jpg
LAPIZ ADHESIVO PRITT 11 GRAMOS,PRITT,PRITT,14.05,"LAPIZ ADHESIVO PRITT 11 GRAMOS PEGA: PAPEL, CARTULINA, FOTOS, NO TOXICO ",https://henki.com.mx/erp/shared_resources/productos/IMG_20190314_161551.jpg-.jpg
FOLDER TAMAÑO CARTA COLOR AZUL,PH0026,MAPASA,3.44,FOLDER TAMAÑO CARTA EN CARTULINA DE 175 GRAMOS HOT COLORS CON 1/2 CEJA Y PUNTAS REDONDEADAS PRESUAJADO PARA BROCHE MEDIDAS 22 X 29.5 CMS CAJA CON 100 PIEZAS COLOR AZUL MODELO PH0026 STARFILE,https://henki.com.mx/erp/shared_resources/productos/2697.jpg
SOBRE BOLSA SOLAPA ENGOMADA MANILA RADIOGRAFIA,B-40-RA,FORTEC,13.43,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 105 GRAMOS TAMAÑO RADIOGRAFIA MEDIDAS 40X50 CMS MODELO B40RA FORTEC,https://henki.com.mx/erp/shared_resources/productos/FOR-SOBBOL-1108.jpg-.jpg
MARCADOR CERA VERDE A-INK ,WXC-10VE,A-INK,9.4,MARCADOR DE CERA VERDE A-INK MODELO WXC10CVE ,https://henki.com.mx/erp/shared_resources/restore/1017xxl6f5kv78.png
PORTA GAFETE TRANSPARENTE CON BROCHE MAE,GFT-10H,MAE,8.37,PORTA GAFETE TRANSPARENTE CON BROCHE MAE MODELO GFT-10H FORMA HORIZONTAL X PIEZA ,https://henki.com.mx/erp/shared_resources/restore/1655ay9o3pw4gy.png
LIBRETA PASTA DURA FRANCESA C-7 MM 96 HOJAS ESTRELLA,0086,ESTRELLA,37.7,LIBRETA PASTA DURA FORMA FRANCESA CUADRO GRANDE 7 MM CON 96 HOJAS DE  PAPEL BOND DE 56 GRAMOS MODELO 86 MEDIDAS DE 16 X 21.5 CMS ESTRELLA,https://henki.com.mx/erp/shared_resources/productos/LIBRETA PASTA DURA FORMA FRANCESA C-7.jpg
CORRECTOR EN CINTA BIC 5MM,BICMINI,BIC,26.0,CORRECTOR EN CINTA BIC MINI 5 MM X 6 MTS,https://henki.com.mx/erp/shared_resources/productos/56NOIMAGEN.png
CINTA DE EMPAQUE TRANSPARENTE LEADER 48 MM X 150 MTS,AB-01,LEADER,43.46,CINTA DE EMPAQUE TRANSPARENTE LEADER AB-1 MEDIDA 48 MM X 150 MTS,https://henki.com.mx/erp/shared_resources/productos/LEA-CINDE-962.jpg
BOLIGRAFO PUNTO MEDIANO NEGRO,BL001,BACO,2.83,BOLIGRAFO PUNTO MEDIANO LE PLUME NEGRO BACO,https://henki.com.mx/erp/shared_resources/productos/135-removebg-preview-png
SEPARADORES KIP 8 DIVISIONES SIN NUMERO,SEKIMP-08,KIP,20.64,SEPARADORES KIP 8 DIVISIONES MODELO SEPKIP08 CEJA DE COLOR SIN NUMERO CON 1 JUEGO,https://henki.com.mx/erp/shared_resources/productos/3728RE.png
BOLIGRAFO SUPER GEL AZUL PILOT,EMP-029,PILOT,24.75,BOLIGRAFO SUPER GEL PILOT COLOR AZUL MODELO 13002 PUNTO FINO 0.7 MM PIEZA,https://henki.com.mx/erp/shared_resources/productos/PIL-BOLSUP-843.jpg
LIGA DE HULE NATURAL No 64 HERCULES EN BOLSA,HERCULES,HERCULES,15.98,LIGA DE HULE NATURAL No 64 HERCULES EN BOLSA DE 100 GRAMOS,https://henki.com.mx/erp/shared_resources/productos/1HER-LIGDE-914.jpg-.jpg
NOTAS ADHESIVAS 1.5X2 AMARILLA,21005,MAE,6.22,"BLOCK DE NOTAS ADHESIVAS MEDIDA 38 MM X 51 MM (1.5"" X 2"") COLOR AMARILLA DE 100 HOJAS MODELO 21005 STICK´N MAE ",https://henki.com.mx/erp/shared_resources/productos/MAE-NOTADH-447.jpg
CARPETA BLANCA PANORAMICA OKAMI T/CARTA HERRAJE O 3 PULGADAS,OKAMICTA3O,OKAMI,80.79,"CARPETA BLANCA PANORAMICA OKAMI DE VINYL TAMAÑO CARTA 3 PULGADAS HERRAJE O TRES VENTANAS DE VINYL TRANSPARENTE, CON SOLAPAS INTERIORES",https://henki.com.mx/erp/shared_resources/productos/OFF-CARBLA-1409.jpg-.jpg
MARCADOR PERMANENTE FINO AZUL AZOR,3800AZ,AZOR,9.99,MARCADOR PERMANENTE MONOPOL AZUL PUNTO FINO MODELO 3800AZ AZOR,https://henki.com.mx/erp/shared_resources/productos/AZO-MARPER-139.jpg
SOBRE BOLSA CON RONDANA MANILA OFICIO,SOB3-TO-MA,KYMA,5.76,SOBRE BOLSA CON RONDANA E HILO PAPEL MANILA DE 105 GRAMOS TAMAÑO OFICIO MEDIDAS 24 X 34 CMS MODELO SOB3-TO-MA KYMA,https://henki.com.mx/erp/shared_resources/productos/KYM-SOBBOL-1113.jpg-.jpg
NOTAS ADHESIVAS 1.5X2 AMARILLA,653,3M,10.22,"BLOCK DE NOTAS ADHESIVAS MEDIDA 38 MM X 50 MM (1.5"" X 2"") COLOR AMARILLA MODELO 653 DE 100 HOJAS POR PIEZA 3M POST-IT",https://henki.com.mx/erp/shared_resources/restore/12084ye3ddwfiq.jpg
MARCADOR DE CERA BLANCO DIXON,PHANO,DIXON,11.18,"MARCADOR DE CERA BLANCO DIXON PHANO PARA TODO USO NO TOXICO UTIL PARA VIDRIO, CELOFAN, MADERA, ACRILICO Y TODO TIPO DE SUPERFICIES LISAS",https://henki.com.mx/erp/shared_resources/restore/1636qhzj4eo297.png
PORTAMINAS OFFICE LINE 0.5 MM SABONIS,P 6032,SABONIS,7.18,PORTAMINAS OFFECE LINE SABONIS MODELO P6032 0.5 MM CUERPO DE GOMA,https://henki.com.mx/erp/shared_resources/productos/SAB-POROFF-855.jpg-.jpg
FOLIADOR AUTOMATICO 6 DIGITOS ESCRIMEX,PAPMAQ006,ESCRIMEX,238.16,FOLIADOR METALICO Y AUTOMATICO 6 DIGITOS ESCRIMEX MODELO PAPMAQ006 INCLUYE 2 COJINES 1 TINTA Y 1 PLUMILLA Y PUEDE IMPRIMIR CONSECUTIVAMENTE HASTA 12 VECES EL MISMO NUMERO,https://henki.com.mx/erp/shared_resources/restore/1048e7nny8ynvi.png
MARCADOR PERMANENTE AZUL ESTERBROOK,M12500119024,BEROL,28.15,MARCADOR PERMANENTE SHARPIE ESTERBROOK AZUL PUNTA DE CINCEL ,https://henki.com.mx/erp/shared_resources/productos/BER-MARPER-147.jpg
MARCADOR PARA PIZARRON COLORES SURTIDOS ,8354,AZOR,73.4,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO CON 4 COLORES SURTIDOS MODELO 8354 AZOR,https://henki.com.mx/erp/shared_resources/productos/AZO-MARPAR-100.jpg
